3M, MMM ,Inge Thulin,Scotch,Nexcare
American Express, AXP ,Kenneth Chenault
Apple, AAPL ,Arthur D. Levinson,Tim Cook,Jonathan Ive,Steve Jobs,iPhone,iPad,Mac,MacOS,iOS
Boeing, BA ,Dennis Muilenburg,737, 747, 767, 777, 787,F/A-18E/F Super Hornet
Caterpillar, CAT ,Jim Umpleby
Chevron, CVX ,John S. Watson
Cisco, CSCO ,John Chambers,Chuck Robbins
Coca-Cola, KO ,consumerKey
Disney, DIS ,Bob Iger,ABC,ESPN
DuPont, DD ,Edward D. Breen
Exxon Mobil, XOM ,Darren Woods,Aera Energy,Esso,Neftgas
General Electric, GE ,Jeff Immelt
Goldman Sachs, GS ,Lloyd Blankfein
Home Depot, HD ,Craig Menear
IBM, IBM ,Ginni Rometty
Intel, INTC ,Gordon Moore,Andy Bryant,Brian Krzanich
Johnson & Johnson, J&J ,Alex Gorsky,McNeil Consumer Healthcare,Vistakon,Neutrogena,DePuy
JPMorgan Chase, JPM ,Jamie Dimon,Matt Zames
McDonald's, MCD ,Andrew J. McKenna,Steve Easterbrook
Merck, MRK ,Kenneth Frazier,Gardasil,Singulair,Propecia/Proscar,Zocor Vioxx Fosamax,Keytruda Januvia Primaxin
Microsoft, MSFT ,John Thompson,Brad Smith,Satya Nadella,Bill Gates,Windows,Microsoft Office,Skype,Visual Studio,Xbox,Azure,Bing,LinkedIn,MSDN,Office 365,OneDrive,Outlook.com,TechNet,Wallet,Windows Store,Windows Update,Xbox Live
Nike, NKE ,Phil Knight,Mark Parker
Pfizer, PFE ,Ian Read,Agouron Pharmaceuticals,G.D. Searle,Greenstone,Hospira,InnoPharma,Parke-Davis,Pfizer UK
Procter & Gamble, PG ,David S. Taylor,Ariel,Febreze,Gilette,H&S,Olay,Oral-B,PAntene,Tide,Vicks
Travelers Companies Inc, TRV ,Alan D. Schnitzer,John Dasburg
United Technologies, UTX ,United,Gregory J. Hayes
UnitedHealth, UNH ,Richard T. Burke,Stephen J. Hemsley,Uniprise,Ingenix
Verizon, VZ ,	Lowell McAdam
Visa, V ,Alfred F. Kelly
Wal-Mart,WMT,Greg Penner,Doug McMillon,Sam's Club
